,s,speedlimit
0,0.0,15.27777778
1,0.0,15.27777778
2,0.0,15.27777778
3,2.0,15.27777778
4,2.0,15.27777778
5,7.0,15.27777778
6,7.0,15.27777778
7,12.0,15.27777778
8,12.0,15.27777778
9,17.0,15.27777778
10,17.0,15.27777778
11,22.0,15.27777778
12,22.0,15.27777778
13,27.0,15.27777778
14,27.0,15.27777778
15,32.0,15.27777778
16,32.0,15.27777778
17,37.0,15.27777778
18,37.0,15.27777778
19,42.0,15.27777778
20,42.0,15.27777778
21,47.0,15.27777778
22,47.0,15.27777778
23,52.0,15.27777778
24,52.0,15.27777778
25,57.0,15.27777778
26,57.0,15.27777778
27,62.0,15.27777778
28,62.0,15.27777778
29,67.0,15.27777778
30,67.0,15.27777778
31,72.0,15.27777778
32,72.0,15.27777778
33,77.0,15.27777778
34,77.0,15.27777778
35,82.0,15.27777778
36,82.0,15.27777778
37,87.0,15.27777778
38,87.0,15.27777778
39,92.0,15.27777778
40,92.0,15.27777778
41,97.0,15.27777778
42,97.0,15.27777778
43,102.0,15.27777778
44,102.0,15.27777778
45,107.0,15.27777778
46,107.0,15.27777778
47,112.0,15.27777778
48,112.0,15.27777778
49,117.0,15.27777778
50,117.0,15.27777778
51,122.0,15.27777778
52,122.0,15.27777778
53,127.0,15.27777778
54,127.0,15.27777778
55,132.0,15.27777778
56,132.0,15.27777778
57,137.0,15.27777778
58,137.0,15.27777778
59,142.0,15.27777778
60,142.0,15.27777778
61,147.0,15.27777778
62,147.0,15.27777778
63,152.0,15.27777778
64,152.0,15.27777778
65,157.0,15.27777778
66,157.0,15.27777778
67,162.0,15.27777778
68,162.0,15.27777778
69,167.0,15.27777778
70,167.0,15.27777778
71,172.0,15.27777778
72,172.0,15.27777778
73,177.0,15.27777778
74,177.0,15.27777778
75,182.0,15.27777778
76,182.0,15.27777778
77,187.0,15.27777778
78,187.0,15.27777778
79,192.0,15.27777778
80,192.0,15.27777778
81,197.0,15.27777778
82,197.0,15.27777778
83,202.0,15.27777778
84,202.0,15.27777778
85,207.0,15.27777778
86,207.0,15.27777778
87,212.0,15.27777778
88,212.0,15.27777778
89,217.0,15.27777778
90,217.0,15.27777778
91,220.0,15.27777778
92,220.0,15.27777778
93,220.0,15.27777778
94,220.0,22.22222222
95,227.0,22.22222222
96,227.0,22.22222222
97,247.0,22.22222222
98,247.0,22.22222222
99,267.0,22.22222222
100,267.0,22.22222222
101,287.0,22.22222222
102,287.0,22.22222222
103,307.0,22.22222222
104,307.0,22.22222222
105,327.0,22.22222222
106,327.0,22.22222222
107,347.0,22.22222222
108,347.0,22.22222222
109,367.0,22.22222222
110,367.0,22.22222222
111,387.0,22.22222222
112,387.0,22.22222222
113,407.0,22.22222222
114,407.0,22.22222222
115,427.0,22.22222222
116,427.0,22.22222222
117,447.0,22.22222222
118,447.0,22.22222222
119,467.0,22.22222222
120,467.0,22.22222222
121,487.0,22.22222222
122,487.0,22.22222222
123,507.0,22.22222222
124,507.0,22.22222222
125,527.0,22.22222222
126,527.0,22.22222222
127,547.0,22.22222222
128,547.0,22.22222222
129,567.0,22.22222222
130,567.0,22.22222222
131,587.0,22.22222222
132,587.0,22.22222222
133,607.0,22.22222222
134,607.0,22.22222222
135,627.0,22.22222222
136,627.0,22.22222222
137,647.0,22.22222222
138,647.0,22.22222222
139,667.0,22.22222222
140,667.0,22.22222222
141,687.0,22.22222222
142,687.0,22.22222222
143,707.0,22.22222222
144,707.0,22.22222222
145,727.0,22.22222222
146,727.0,22.22222222
147,747.0,22.22222222
148,747.0,22.22222222
149,767.0,22.22222222
150,767.0,22.22222222
151,787.0,22.22222222
152,787.0,22.22222222
153,807.0,22.22222222
154,807.0,22.22222222
155,827.0,22.22222222
156,827.0,22.22222222
157,847.0,22.22222222
158,847.0,22.22222222
159,867.0,22.22222222
160,867.0,22.22222222
161,887.0,22.22222222
162,887.0,22.22222222
163,907.0,22.22222222
164,907.0,22.22222222
165,927.0,22.22222222
166,927.0,22.22222222
167,947.0,22.22222222
168,947.0,22.22222222
169,967.0,22.22222222
170,967.0,22.22222222
171,987.0,22.22222222
172,987.0,22.22222222
173,1007.0,22.22222222
174,1007.0,22.22222222
175,1027.0,22.22222222
176,1027.0,22.22222222
177,1047.0,22.22222222
178,1047.0,22.22222222
179,1067.0,22.22222222
180,1067.0,22.22222222
181,1087.0,22.22222222
182,1087.0,22.22222222
183,1107.0,22.22222222
184,1107.0,22.22222222
185,1127.0,22.22222222
186,1127.0,22.22222222
187,1147.0,22.22222222
188,1147.0,22.22222222
189,1167.0,22.22222222
190,1167.0,22.22222222
191,1187.0,22.22222222
192,1187.0,22.22222222
193,1207.0,22.22222222
194,1207.0,22.22222222
195,1254.2691799999993,22.22222222
196,1254.2691799999993,22.22222222
197,1258.9626800000005,22.22222222
198,1258.9626800000005,22.01378884
199,1263.6561699999984,22.01378884
200,1263.6561699999984,21.78997324
201,1268.3496599999999,21.78997324
202,1268.3496599999999,21.55723556
203,1273.0431500000013,21.55723556
204,1273.0431500000013,21.32356524
205,1289.7599699999992,21.32356524
206,1289.7599699999992,20.48802402
207,1306.4768000000004,20.48802402
208,1306.4768000000004,19.62548758
209,1323.1936199999982,19.62548758
210,1323.1936199999982,18.73219086
211,1339.9104399999997,18.73219086
212,1339.9104399999997,17.80348567
213,1351.4328300000016,17.80348567
214,1351.4328300000016,17.13980396
215,1362.9552199999998,17.13980396
216,1362.9552199999998,16.454277
217,1374.4776100000017,16.454277
218,1374.4776100000017,15.74404899
219,1386.0,15.74404899
220,1386.0,15.00562417
221,1386.0,15.00562417
222,1386.0,15.00562417
223,1389.0608900000007,15.00562417
224,1389.0608900000007,14.80420809
225,1392.1217800000013,14.80420809
226,1392.1217800000013,14.60041182
227,1395.1826599999986,14.60041182
228,1395.1826599999986,14.39413544
229,1398.2435499999992,14.39413544
230,1398.2435499999992,14.18527201
231,1401.2435499999992,14.18527201
232,1401.2435499999992,13.97794277
233,1404.2435499999992,13.97794277
234,1404.2435499999992,13.76790299
235,1407.2435499999992,13.76790299
236,1407.2435499999992,13.55502818
237,1410.2435499999992,13.55502818
238,1410.2435499999992,13.33918432
239,1413.2435499999992,13.33918432
240,1413.2435499999992,13.12022704
241,1416.2435499999992,13.12022704
242,1416.2435499999992,12.8980003
243,1419.2435499999992,12.8980003
244,1419.2435499999992,12.672334239999998
245,1422.2435499999992,12.672334239999998
246,1422.2435499999992,12.44304421
247,1425.2435499999992,12.44304421
248,1425.2435499999992,12.20992927
249,1428.2435499999992,12.20992927
250,1428.2435499999992,11.97276986
251,1431.2435499999992,11.97276986
252,1431.2435499999992,11.73132385
253,1434.2435499999992,11.73132385
254,1434.2435499999992,11.48532457
255,1437.2435499999992,11.48532457
256,1437.2435499999992,11.23447794
257,1440.2435499999992,11.23447794
258,1440.2435499999992,10.97845811
259,1443.2435499999992,10.97845811
260,1443.2435499999992,10.71689905
261,1446.2435499999992,10.71689905
262,1446.2435499999992,10.44939049
263,1449.2435499999992,10.44939049
264,1449.2435499999992,10.17547167
265,1452.2435499999992,10.17547167
266,1452.2435499999992,9.894622052
267,1455.2435499999992,9.894622052
268,1455.2435499999992,9.606241085
269,1458.2435499999992,9.606241085
270,1458.2435499999992,9.309638285
271,1461.2435499999992,9.309638285
272,1461.2435499999992,9.004016746
273,1464.2435499999992,9.004016746
274,1464.2435499999992,8.688451317
275,1467.2435499999992,8.688451317
276,1467.2435499999992,8.361827259
277,1470.2435499999992,8.361827259
278,1470.2435499999992,8.022810595
279,1473.2435499999992,8.022810595
280,1473.2435499999992,7.669790615
281,1476.2435499999992,7.669790615
282,1476.2435499999992,7.300821782
283,1479.2435499999992,7.300821782
284,1479.2435499999992,6.913356618
285,1482.2435499999992,6.913356618
286,1482.2435499999992,6.50411855
287,1485.2435499999992,6.50411855
288,1485.2435499999992,6.068802816
289,1488.2435499999992,6.068802816
290,1488.2435499999992,5.601931351
291,1491.2435499999992,5.601931351
292,1491.2435499999992,5.094441608
293,1494.2435499999992,5.094441608
294,1494.2435499999992,4.532632122
295,1495.8947399999997,4.532632122
296,1495.8947399999997,4.19311173
297,1497.5459200000005,4.19311173
298,1497.5459200000005,3.825551323
299,1499.1971000000012,3.825551323
300,1499.1971000000012,3.420182772
301,1500.8482900000017,3.420182772
302,1500.8482900000017,2.961482447
303,1501.57229,2.961482447
304,1501.57229,2.737663568
305,1502.2963000000018,2.737663568
306,1502.2963000000018,2.495239411
307,1503.0203099999999,2.495239411
308,1503.0203099999999,2.227735192
309,1503.7443200000016,2.227735192
310,1503.7443200000016,1.9248669399999998
311,1504.0612099999998,1.9248669399999998
312,1504.0612099999998,1.77729793
313,1504.3781100000015,1.77729793
314,1504.3781100000015,1.617444375
315,1504.6950099999995,1.617444375
316,1504.6950099999995,1.441047889
317,1505.011910000001,1.441047889
318,1505.011910000001,1.24135207
319,1505.1506599999993,1.24135207
320,1505.1506599999993,1.144030703
321,1505.289420000001,1.144030703
322,1505.289420000001,1.038625072
323,1505.428179999999,1.038625072
324,1505.428179999999,0.922353251
325,1505.5669400000006,0.922353251
326,1505.5669400000006,0.790809109
327,1505.6278300000013,0.790809109
328,1505.6278300000013,0.726602006
329,1505.6887099999985,0.726602006
330,1505.6887099999985,0.657091147
331,1505.7495999999992,0.657091147
332,1505.7495999999992,0.580473017
333,1505.8104899999998,0.580473017
334,1505.8104899999998,0.493898984
335,1505.837309999999,0.493898984
336,1505.837309999999,0.451521646
337,1505.8641300000018,0.451521646
338,1505.8641300000018,0.405678556
339,1505.8909600000006,0.405678556
340,1505.8909600000006,0.355212927
341,1505.9177799999998,0.355212927
342,1505.9177799999998,0.298305571
343,1505.9296700000014,0.298305571
344,1505.9296700000014,0.270329128
345,1505.9415499999996,0.270329128
346,1505.9415499999996,0.240102186
347,1505.9534400000011,0.240102186
348,1505.9534400000011,0.20689496
349,1505.965329999999,0.20689496
350,1505.965329999999,0.16956778400000003
351,1505.97062,0.16956778400000003
352,1505.97062,0.151196335
353,1505.975910000001,0.151196335
354,1505.975910000001,0.131394306
355,1505.9811999999984,0.131394306
356,1505.9811999999984,0.10972199
357,1505.9864899999993,0.10972199
358,1505.9864899999993,0.085502096
359,1505.9890000000014,0.085502096
360,1505.9890000000014,0.072841855
361,1505.9915099999998,0.072841855
362,1505.9915099999998,0.05919402
363,1505.9940199999983,0.05919402
364,1505.9940199999983,0.044254252
365,1505.9965300000003,0.044254252
366,1505.9965300000003,0.027553455
367,1505.9972300000009,0.027553455
368,1505.9972300000009,0.022530936
369,1505.9979200000016,0.022530936
370,1505.9979200000016,0.017293979
371,1505.9986199999985,0.017293979
372,1505.9986199999985,0.011812026
373,1505.9993099999992,0.011812026
374,1505.9993099999992,0.006046711
375,1505.9994499999993,0.006046711
376,1505.9994499999993,0.004855677
377,1505.9995899999994,0.004855677
378,1505.9995899999994,0.0036509609999999994
379,1505.9997299999995,0.0036509609999999994
380,1505.9997299999995,0.002432081
381,1505.9998699999996,0.002432081
382,1505.9998699999996,0.001198525
383,1505.9998899999991,0.001198525
384,1505.9998899999991,0.000950005
385,1505.9999199999984,0.000950005
386,1505.9999199999984,0.000700873
387,1505.9999500000013,0.000700873
388,1505.9999500000013,0.000451122
389,1505.9999800000005,0.000451122
390,1505.9999800000005,0.000200749
391,1505.9999800000005,0.000200749
392,1505.9999800000005,0.0001506
393,1505.9999900000003,0.0001506
394,1505.9999900000003,0.00010042499999999999
395,1505.9999900000003,0.00010042499999999999
396,1505.9999900000003,5.02e-05
397,1506.0,5.02e-05
